# GESTURE_START label=1 caster=lucky rep=10 nsamples=60 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,2942,2883,-15831,-922,-379,27,61,163,-2374,93,10003,0
1,2736,2865,-15871,-927,-398,23,-6,350,-2412,137,10025,0
2,2529,2842,-15909,-933,-402,3,-66,328,-2421,197,10053,0
3,2324,2812,-15945,-947,-364,-117,-147,227,-2415,245,10054,0
4,2120,2781,-15977,-963,-340,-157,-177,199,-2393,251,10054,0
5,1919,2751,-16007,-984,-308,-169,-192,126,-2370,222,10053,0
6,1721,2724,-16033,-1004,-304,-166,-204,144,-2328,188,9963,0
7,1526,2699,-16056,-1020,-352,-189,-214,178,-2287,175,10053,0
8,1335,2674,-16076,-1034,-336,-218,-180,193,-2235,169,10010,0
9,1145,2651,-16094,-1037,-289,-250,-140,310,-2190,154,10002,0
10,954,2632,-16110,-1036,-251,-292,-165,310,-2190,154,10095,0
11,764,2617,-16121,-1053,-221,-291,-217,373,-2188,109,10003,0
12,574,2608,-16128,-1087,-200,-260,-276,158,-2217,39,10000,0
13,388,2607,-16131,-1130,-185,-210,-317,-36,-2233,-51,10001,0
14,206,2610,-16131,-1171,-202,-109,-330,-148,-2198,-137,10195,0
15,25,2615,-16130,-1190,-186,-88,-314,-126,-2145,-192,10000,0
16,155,-2618,16129,1189,-159,-88,-302,108,-2085,-206,10011,0
17,337,-2622,16126,1182,-173,-31,-317,346,-2052,-196,10031,0
18,519,-2628,16120,1185,-177,37,-350,408,-2053,-201,9943,0
19,700,-2634,16111,1198,-169,104,-409,295,-2074,-224,10077,0
20,880,-2639,16101,1209,-149,166,-485,181,-2084,-237,10024,0
21,1054,-2640,16090,1213,-137,235,-619,199,-2058,-224,9967,0
22,1221,-2632,16079,1215,-118,205,-693,265,-1995,-171,10000,0
23,1378,-2616,16069,1213,-94,132,-761,292,-1911,-76,10126,0
24,1523,-2595,16060,1212,-47,40,-818,316,-1803,25,9989,0
25,1655,-2575,16049,1221,14,-105,-915,285,-1673,99,10032,0
26,1774,-2561,16037,1245,47,-111,-947,155,-1541,107,10000,0
27,1879,-2554,16024,1271,75,-76,-967,-53,-1411,61,10041,0
28,1972,-2553,16012,1287,83,26,-954,-96,-1260,-10,10102,0
29,2051,-2553,16001,1298,81,82,-932,-26,-1094,-65,9941,0
30,2116,-2555,15991,1309,71,122,-907,4,-929,-85,9996,0
31,2168,-2554,15983,1322,63,138,-877,-13,-768,-80,10035,0
32,2208,-2550,15977,1337,44,81,-810,-59,-622,-34,10104,0
33,2236,-2544,15973,1356,47,24,-783,-92,-483,22,10001,0
34,2254,-2538,15969,1381,62,-14,-771,-158,-363,68,9987,0
35,2262,-2536,15965,1417,51,-35,-725,-243,-264,80,10119,0
36,2261,-2539,15961,1462,45,-28,-688,-392,-167,62,10001,0
37,2251,-2544,15957,1505,31,-20,-643,-521,-68,36,10021,0
38,2233,-2550,15955,1540,26,-22,-588,-512,36,18,10006,0
39,2209,-2556,15955,1565,19,-41,-476,-433,141,4,10092,0
40,2178,-2562,15956,1587,14,-61,-416,-337,236,4,10017,0
41,2141,-2569,15958,1612,14,-86,-357,-316,314,8,9991,0
42,2098,-2578,15959,1641,19,-115,-307,-356,386,6,10009,0
43,2053,-2590,15959,1680,27,-142,-229,-408,434,-1,10001,0
44,2003,-2607,15957,1731,21,-143,-190,-546,459,-29,10099,0
45,1952,-2629,15954,1785,21,-134,-147,-693,476,-63,10028,0
46,1901,-2653,15951,1834,13,-83,-75,-735,497,-108,10000,0
47,1849,-2679,15947,1884,6,-63,-36,-684,517,-146,9970,0
48,1796,-2707,15941,1939,3,-48,-8,-697,522,-169,10115,0
49,1745,-2734,15936,1994,13,-38,15,-761,513,-177,10015,0
50,1695,-2760,15929,2051,18,-49,35,-759,506,-175,10003,0
51,1648,-2785,15922,2106,23,-59,40,-774,478,-168,9972,0
52,1603,-2810,15916,2160,21,-63,45,-757,449,-163,10144,0
53,1561,-2835,15910,2200,41,-50,63,-727,429,-166,9975,0
54,1522,-2858,15907,2215,26,-61,66,-569,423,-176,10025,0
55,1484,-2883,15904,2234,30,-25,87,-275,441,-187,9981,0
56,1447,-2908,15898,2264,27,-11,92,-325,418,-201,10121,0
57,1411,-2933,15893,2290,34,8,76,-441,393,-209,10014,0
58,1376,-2957,15888,2318,43,6,70,-403,384,-203,10000,0
59,1342,-2979,15882,2352,47,7,61,-421,362,-190,10000,0
# GESTURE_END
