# GESTURE_START label=2 caster=lucky rep=0 nsamples=137 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,179,-12639,10293,1642,45,-115,-59,-376,-388,163,9818,0
1,174,-12628,10300,1686,29,-128,-60,-356,-367,155,10000,0
2,172,-12617,10307,1726,21,-138,-58,-293,-351,144,10002,0
3,173,-12608,10313,1761,18,-144,-61,-240,-331,126,9998,0
4,176,-12599,10318,1794,8,-142,-60,-202,-329,110,10000,0
5,183,-12591,10322,1825,16,-137,-63,-152,-327,94,9999,0
6,194,-12583,10326,1851,22,-135,-67,-90,-324,80,10001,0
7,207,-12576,10330,1876,34,-137,-70,-57,-323,69,10002,0
8,223,-12570,10334,1898,44,-146,-69,-17,-324,60,9998,0
9,259,-12568,10337,1887,49,-133,-66,11,-316,47,10000,0
10,289,-12568,10338,1879,46,-108,-62,-39,-315,30,10002,0
11,310,-12567,10338,1881,39,-88,-59,-139,-325,23,9998,0
12,318,-12562,10338,1910,29,-55,-85,-140,-328,25,9999,0
13,326,-12558,10338,1939,34,-44,-89,-138,-323,32,10001,0
14,335,-12552,10339,1968,30,-40,-106,-130,-320,45,10000,0
15,343,-12545,10342,1995,29,-28,-138,-124,-311,64,9997,0
16,352,-12538,10345,2021,36,-23,-156,-105,-303,77,10005,0
17,362,-12530,10351,2044,31,-30,-180,-64,-290,100,10000,0
18,379,-12520,10359,2060,39,-47,-221,53,-273,120,10035,0
19,400,-12510,10368,2069,58,-56,-288,133,-241,130,9963,0
20,417,-12501,10377,2076,49,-30,-273,116,-205,127,10000,0
21,437,-12491,10387,2079,45,-8,-319,166,-175,130,10000,0
22,448,-12481,10397,2085,60,-8,-356,68,-151,148,10000,0
23,459,-12470,10409,2089,59,-22,-410,92,-118,169,10000,0
24,477,-12458,10425,2080,61,-47,-476,253,-72,193,10002,0
25,493,-12446,10441,2067,72,-64,-533,262,-13,202,9998,0
26,500,-12436,10456,2050,78,-65,-585,213,78,195,10000,0
27,495,-12427,10470,2034,79,-71,-591,94,169,189,10000,0
28,472,-12419,10482,2025,81,-63,-584,-107,248,186,10000,0
29,433,-12413,10492,2021,76,-52,-564,-298,315,183,10002,0
30,389,-12408,10501,2014,72,-56,-534,-322,382,189,9998,0
31,348,-12402,10513,1998,61,-62,-534,-225,443,196,10005,0
32,310,-12396,10526,1973,53,-84,-549,-127,492,208,9995,0
33,272,-12390,10540,1941,52,-138,-596,-66,552,211,10000,0
34,233,-12384,10554,1903,58,-165,-602,-43,622,207,10003,0
35,188,-12381,10566,1861,55,-178,-601,-58,702,183,9996,0
36,138,-12380,10576,1814,48,-175,-586,-81,782,151,10006,0
37,82,-12382,10583,1762,32,-146,-524,-86,871,116,10026,0
38,23,-12386,10588,1705,13,-118,-479,-85,942,86,10056,0
39,42,12391,-10592,-1647,6,-85,-431,-130,1002,70,10057,0
40,113,12396,-10595,-1589,-5,-27,-350,-182,1040,74,10058,0
41,188,12399,-10598,-1532,-14,-21,-319,-232,1064,92,10056,0
42,266,12400,-10603,-1475,-18,-31,-285,-248,1081,123,9969,0
43,341,12400,-10609,-1415,-21,-49,-264,-196,1091,151,10059,0
44,412,12398,-10618,-1349,-6,-103,-210,-121,1105,172,9994,0
45,483,12395,-10626,-1281,-8,-119,-168,-97,1115,181,10000,0
46,554,12392,-10634,-1213,-9,-128,-126,-97,1115,181,10100,0
47,627,12389,-10641,-1147,-11,-125,-44,-110,1124,179,10000,0
48,699,12386,-10647,-1083,-19,-129,-32,-136,1114,169,10008,0
49,769,12383,-10653,-1020,-24,-130,-35,-150,1098,162,9995,0
50,836,12378,-10658,-958,-14,-136,-41,-130,1065,162,10196,0
51,902,12374,-10663,-897,-17,-147,-31,-124,1038,161,10025,0
52,966,12370,-10667,-833,-19,-156,-7,-112,1029,156,9987,0
53,1032,12366,-10671,-769,-26,-157,17,-82,1035,152,9902,0
54,1099,12362,-10673,-708,-32,-152,40,-91,1042,142,10074,0
55,1171,12358,-10674,-652,-29,-140,85,-130,1037,129,10048,0
56,1245,12353,-10673,-601,-38,-126,111,-204,1023,115,9999,0
57,1317,12349,-10673,-550,-61,-100,144,-259,1005,109,10001,0
58,1382,12344,-10673,-497,-84,-79,205,-251,983,103,10116,0
59,1431,12339,-10675,-435,-96,-82,208,-175,949,110,10000,0
60,1467,12333,-10679,-367,-112,-77,205,34,909,133,10002,0
61,1503,12326,-10684,-306,-107,-84,186,196,860,154,10006,0
62,1541,12317,-10691,-251,-78,-138,125,137,796,174,10137,0
63,1577,12306,-10699,-200,-69,-167,92,77,748,195,9981,0
64,1613,12295,-10707,-150,-65,-194,63,63,709,214,10019,0
65,1648,12285,-10714,-100,-33,-235,5,53,693,210,10023,0
66,1683,12276,-10719,-48,-33,-233,-4,65,690,199,10074,0
67,1719,12268,-10722,5,-29,-232,-11,81,706,176,10000,0
68,1753,12262,-10724,65,-30,-235,-19,75,730,148,9986,0
69,1787,12258,-10723,130,-28,-255,-7,145,773,127,10067,0
70,1826,12254,-10719,195,-44,-254,20,198,816,106,10053,0
71,1874,12251,-10713,256,-59,-248,54,149,862,77,10019,0
72,1930,12248,-10705,314,-64,-247,89,45,905,43,10012,0
73,1990,12247,-10694,371,-76,-247,153,-52,933,10,10008,0
74,2053,12245,-10681,425,-87,-240,181,-83,957,-15,10089,0
75,2118,12245,-10667,477,-101,-234,210,-128,964,-40,10033,0
76,2184,12244,-10652,525,-113,-223,284,-173,954,-60,9967,0
77,2248,12244,-10636,572,-119,-228,310,-204,938,-77,10110,0
78,2305,12246,-10620,621,-116,-239,328,-193,913,-89,10036,0
79,2355,12248,-10603,672,-119,-260,331,-115,878,-96,10000,0
80,2399,12252,-10586,721,-104,-303,311,-37,835,-102,9981,0
81,2443,12256,-10567,765,-100,-322,301,-5,787,-117,10124,0
82,2491,12262,-10547,802,-100,-337,294,-31,736,-143,9992,0
83,2538,12270,-10524,836,-105,-365,299,-126,705,-181,10038,0
84,2579,12280,-10499,873,-121,-381,310,-124,681,-216,9974,0
85,2613,12294,-10470,916,-140,-386,336,-43,669,-255,10112,0
86,2645,12310,-10439,959,-151,-395,374,65,663,-292,10000,0
87,2674,12329,-10406,1002,-147,-428,417,91,656,-331,10016,0
88,2700,12349,-10371,1044,-141,-454,436,122,637,-364,10001,0
89,2725,12370,-10335,1083,-126,-484,452,140,606,-390,10112,0
90,2745,12396,-10296,1118,-85,-539,483,136,578,-415,9979,0
91,2768,12422,-10254,1144,-65,-559,509,162,504,-476,10001,0
92,2794,12451,-10211,1157,-56,-564,539,63,451,-524,10020,0
93,2794,12451,-10211,1157,-57,-572,563,-38,370,-581,10114,0
94,2816,12483,-10165,1164,-41,-529,532,-40,273,-641,10030,0
95,2824,12521,-10115,1166,-40,-493,478,60,147,-711,9951,0
96,2819,12565,-10063,1164,-30,-444,416,160,16,-768,10001,0
97,2796,12613,-10008,1165,-24,-377,347,346,-81,-815,10146,0
98,2759,12666,-9951,1168,-43,-257,205,510,-168,-846,9976,0
99,2711,12721,-9894,1171,-31,-235,136,601,-245,-851,10004,0
100,2654,12777,-9836,1177,-26,-218,79,708,-277,-848,10020,0
101,2595,12833,-9778,1183,-9,-154,-4,728,-290,-854,10105,0
102,2543,12888,-9719,1183,-7,-124,-47,611,-300,-870,10012,0
103,2501,12942,-9660,1174,3,-72,-81,468,-306,-884,9997,0
104,2466,12994,-9600,1161,12,-8,-105,376,-289,-901,9988,0
105,2428,13047,-9538,1153,2,76,-130,435,-269,-904,10129,0
106,2385,13099,-9478,1153,10,93,-130,536,-226,-873,9990,0
107,2341,13149,-9419,1158,12,113,-122,573,-191,-835,10010,0
108,2297,13197,-9361,1167,27,107,-72,596,-157,-803,10083,0
109,2257,13242,-9306,1177,21,111,-38,550,-114,-761,10034,0
110,2227,13284,-9253,1182,27,122,-4,428,-107,-732,9988,0
111,2205,13322,-9203,1180,30,148,17,291,-110,-706,10008,0
112,2183,13359,-9155,1176,22,194,27,276,-134,-678,9994,0
113,2156,13395,-9110,1174,36,204,22,337,-153,-636,10127,0
114,2119,13429,-9068,1178,50,209,18,456,-170,-578,9989,0
115,2076,13460,-9030,1185,48,198,32,542,-175,-516,10011,0
116,2030,13489,-8996,1194,45,166,25,563,-186,-454,10028,0
117,1975,13516,-8966,1206,55,129,6,661,-206,-388,10118,0
118,1912,13542,-8939,1223,59,96,-17,762,-227,-343,9955,0
119,1853,13565,-8914,1235,35,47,-68,692,-245,-317,10011,0
120,1806,13586,-8891,1236,34,20,-105,508,-271,-310,10010,0
121,1768,13606,-8869,1231,36,4,-148,374,-278,-314,10105,0
122,1736,13627,-8846,1222,47,-6,-181,296,-265,-334,10035,0
123,1711,13647,-8820,1213,15,6,-187,238,-234,-362,10000,0
124,1689,13669,-8792,1207,-7,32,-153,216,-181,-398,9977,0
125,1668,13692,-8760,1205,-7,32,-153,246,-133,-435,10135,0
126,1646,13716,-8725,1207,-32,66,-119,283,-94,-461,9968,0
127,1629,13741,-8690,1207,-74,133,-68,217,-82,-475,10004,0
128,1622,13764,-8656,1201,-91,175,-44,97,-82,-476,10039,0
129,1614,13786,-8623,1195,-100,213,-24,88,-81,-455,10085,0
130,1598,13807,-8592,1195,-71,224,-46,202,-81,-418,9987,0
131,1581,13827,-8562,1198,-115,222,-2,233,-55,-388,9832,0
132,1573,13844,-8536,1194,-106,252,0,99,-78,-355,10172,0
133,1574,13859,-8514,1183,-104,240,6,-44,-90,-317,10112,0
134,1571,13872,-8495,1175,-93,242,35,10,-87,-273,10021,0
135,1560,13884,-8478,1171,-99,238,36,115,-91,-235,10041,0
136,1549,13894,-8463,1166,-86,223,28,100,-107,-200,9981,0
# GESTURE_END
