# GESTURE_START label=0 caster=lucky rep=19 nsamples=76 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1148,7058,14505,-2630,-624,-394,-856,-200,2481,6,10000,0
1,926,7079,14531,-2512,-658,-313,-666,-175,2707,-124,9999,0
2,688,7094,14558,-2386,-686,-272,-547,-135,2921,-234,10011,0
3,438,7102,14586,-2247,-715,-231,-431,-142,3116,-327,10197,0
4,183,7104,14614,-2091,-723,-160,-220,-227,3285,-410,9999,0
5,77,-7102,-14639,1921,-747,-128,-120,-363,3420,-467,10004,0
6,340,-7097,-14660,1742,-773,-100,-17,-488,3531,-505,9996,0
7,607,-7089,-14676,1560,-785,-74,89,-553,3611,-527,10061,0
8,875,-7079,-14685,1377,-752,-4,301,-570,3660,-531,9967,0
9,1142,-7068,-14688,1194,-752,13,396,-562,3679,-524,10000,0
10,1405,-7056,-14685,1013,-748,22,484,-555,3665,-506,10029,0
11,1663,-7043,-14676,838,-706,56,641,-555,3624,-477,10000,0
12,1914,-7028,-14660,671,-702,77,705,-509,3543,-446,10086,0
13,2156,-7014,-14640,509,-693,84,766,-455,3439,-414,10012,0
14,2386,-7000,-14616,351,-682,89,818,-444,3323,-382,9997,0
15,2604,-6987,-14588,197,-625,88,927,-465,3190,-346,10003,0
16,2809,-6975,-14557,46,-607,79,967,-488,3056,-308,10165,0
17,3000,-6963,-14524,-100,-588,80,1005,-512,2914,-277,9970,0
18,3178,-6952,-14490,-239,-574,85,1032,-526,2747,-251,10010,0
19,3342,-6941,-14455,-369,-531,115,1084,-530,2575,-229,10007,0
20,3492,-6931,-14421,-490,-519,136,1106,-511,2394,-207,10094,0
21,3630,-6922,-14387,-603,-507,156,1120,-483,2213,-184,10009,0
22,3753,-6915,-14354,-709,-459,199,1127,-462,2033,-158,9979,0
23,3862,-6912,-14321,-808,-433,222,1119,-471,1853,-125,10009,0
24,3958,-6912,-14289,-901,-422,247,1111,-486,1677,-84,10117,0
25,4043,-6916,-14258,-988,-419,261,1109,-487,1515,-41,10001,0
26,4118,-6925,-14226,-1068,-368,270,1125,-490,1367,10,10019,0
27,4184,-6937,-14195,-1139,-363,280,1146,-487,1227,64,10000,0
28,4241,-6953,-14165,-1204,-363,295,1172,-452,1092,117,9981,0
29,4286,-6973,-14136,-1263,-361,352,1225,-439,957,161,10117,0
30,4321,-7000,-14108,-1319,-368,379,1257,-456,819,207,10046,0
31,4343,-7033,-14080,-1369,-378,406,1290,-488,677,265,9954,0
32,4353,-7073,-14052,-1412,-392,429,1320,-513,523,334,10000,0
33,4349,-7124,-14024,-1451,-409,453,1375,-537,362,419,10033,0
34,4330,-7184,-13995,-1484,-428,454,1398,-579,191,515,10083,0
35,4296,-7255,-13967,-1511,-446,446,1424,-638,9,620,10029,0
36,4247,-7334,-13938,-1530,-455,435,1455,-684,-180,724,9971,0
37,4181,-7423,-13909,-1541,-506,411,1497,-719,-384,823,10024,0
38,4099,-7520,-13882,-1540,-520,391,1510,-741,-606,918,10109,0
39,3999,-7624,-13856,-1527,-529,359,1521,-737,-839,1006,10012,0
40,3882,-7734,-13831,-1501,-581,307,1523,-729,-1081,1087,9972,0
41,3746,-7848,-13808,-1464,-612,277,1525,-715,-1332,1153,10016,0
42,3591,-7966,-13787,-1417,-639,247,1515,-711,-1584,1199,10130,0
43,3414,-8087,-13766,-1367,-655,210,1495,-742,-1832,1228,9999,0
44,3215,-8208,-13748,-1313,-741,141,1453,-830,-2079,1239,9980,0
45,2997,-8327,-13731,-1251,-776,114,1448,-924,-2315,1223,10020,0
46,2764,-8441,-13717,-1176,-809,91,1443,-950,-2543,1187,10114,0
47,2516,-8550,-13705,-1085,-886,10,1419,-890,-2772,1144,10003,0
48,2252,-8652,-13694,-983,-894,-33,1401,-817,-3001,1093,10000,0
49,1968,-8747,-13685,-874,-910,-46,1357,-797,-3232,1032,9999,0
50,1968,-8747,-13685,-874,-952,-35,1283,-842,-3466,953,10042,0
51,1659,-8835,-13676,-764,-1134,41,1012,-973,-3700,859,10080,0
52,1322,-8914,-13667,-660,-1195,44,836,-1197,-3936,764,10008,0
53,952,-8986,-13655,-570,-1221,34,606,-1527,-4162,687,9992,0
54,545,-9051,-13637,-501,-1307,63,35,-1969,-4370,618,10000,0
55,101,-9106,-13613,-459,-1414,49,-288,-2463,-4550,539,10110,0
56,374,9147,13581,441,-1433,10,-614,-2891,-4686,452,10003,0
57,863,9175,13540,433,-1353,-80,-914,-3091,-4767,377,9997,0
58,1347,9192,13489,412,-1315,-173,-1496,-2934,-4792,322,10011,0
59,1805,9201,13431,360,-1282,-230,-1761,-2484,-4762,284,10118,0
60,2221,9208,13366,259,-1131,-286,-2043,-1753,-4681,258,9987,0
61,2585,9219,13294,111,-976,-361,-2276,-960,-4516,269,10031,0
62,2894,9236,13219,-72,-799,-524,-2546,-277,-4226,293,9977,0
63,3161,9253,13143,-255,-682,-594,-2629,12,-3839,290,10104,0
64,3386,9268,13073,-425,-573,-651,-2659,149,-3350,253,10023,0
65,3579,9273,13012,-561,-474,-679,-2444,31,-2809,177,9987,0
66,3741,9268,12966,-657,-396,-738,-2217,-180,-2235,79,10002,0
67,3879,9250,12935,-709,-371,-743,-2089,-458,-1689,-31,10070,0
68,3997,9221,12919,-719,-333,-807,-1904,-751,-1206,-130,10038,0
69,4097,9183,12916,-704,-274,-866,-1542,-887,-837,-238,9988,0
70,4168,9142,12923,-689,-144,-889,-1362,-724,-549,-342,10011,0
71,4215,9099,12939,-681,-111,-826,-1201,-504,-360,-442,10080,0
72,4235,9057,12961,-700,-32,-700,-960,-91,-250,-578,10017,0
73,4230,9014,12990,-750,29,-646,-870,343,-212,-724,10009,0
74,4219,8964,13024,-810,48,-561,-836,452,-206,-854,10008,0
75,4208,8907,13063,-870,45,-550,-817,426,-193,-964,10057,0
# GESTURE_END
