# GESTURE_START label=5 caster=lucky rep=12 nsamples=113 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1949,1672,16134,1242,-97,-191,128,473,187,-1315,9999,0
1,1938,1564,16151,1169,-114,-180,133,706,158,-1337,10001,0
2,1928,1455,16168,1088,-114,-164,138,797,130,-1367,10000,0
3,1922,1344,16184,1001,-118,-143,135,866,91,-1387,10002,0
4,1918,1233,16199,915,-118,-118,131,847,58,-1402,9997,0
5,1920,1118,16211,844,-131,-63,131,658,11,-1419,10000,0
6,1926,1001,16220,789,-138,-27,120,476,-36,-1424,10000,0
7,1936,884,16228,738,-141,4,104,411,-75,-1419,10005,0
8,1949,769,16235,688,-144,40,57,412,-113,-1398,9996,0
9,1965,656,16240,639,-141,57,35,398,-139,-1367,9999,0
10,1981,546,16244,594,-128,83,12,366,-157,-1332,10007,0
11,1998,440,16247,547,-110,105,-2,386,-159,-1289,9994,0
12,2013,339,16249,491,-118,131,-6,493,-145,-1246,10014,0
13,2025,245,16251,417,-111,143,-14,708,-126,-1185,10000,0
14,2035,160,16253,319,-83,158,-22,1001,-100,-1123,10002,0
15,2039,88,16255,200,-55,186,-23,1259,-44,-998,9998,0
16,2042,20,16256,90,-76,246,21,1164,-26,-931,10007,0
17,2044,-41,16256,-8,-60,276,48,1038,-22,-847,10051,0
18,2048,-97,16255,-85,-65,285,67,804,-37,-747,10047,0
19,2053,-147,16254,-138,-95,230,148,531,-68,-651,10053,0
20,2062,-192,16252,-174,-47,222,106,348,-104,-567,10050,0
21,2073,-230,16249,-215,-54,188,177,418,-127,-494,9963,0
22,2086,-260,16246,-282,-69,170,190,732,-146,-437,10081,0
23,2103,-284,16242,-356,-58,123,226,816,-194,-387,10057,0
24,2125,-303,16237,-445,-39,93,214,997,-242,-343,9972,0
25,2151,-319,16230,-540,-17,64,178,1065,-292,-322,10000,0
26,2179,-338,16223,-623,-13,36,133,1065,-292,-322,10096,0
27,2209,-359,16216,-688,-7,44,123,938,-323,-326,10000,0
28,2242,-385,16209,-728,-6,72,116,714,-351,-330,10000,0
29,2277,-414,16203,-742,-10,106,117,437,-383,-343,10004,0
30,2314,-445,16197,-734,-20,200,128,121,-420,-341,10194,0
31,2354,-474,16191,-716,-22,246,137,-132,-454,-326,10003,0
32,2398,-497,16185,-704,-23,287,138,-228,-490,-286,10006,0
33,2444,-511,16177,-704,-22,316,140,-165,-523,-220,10000,0
34,2494,-514,16169,-722,-15,345,138,-1,-548,-137,9956,0
35,2547,-507,16159,-753,-8,343,129,226,-579,-43,10108,0
36,2602,-492,16149,-789,4,339,124,390,-603,50,9976,0
37,2660,-471,16139,-819,13,329,93,461,-626,136,9999,0
38,2720,-448,16129,-832,8,331,83,403,-658,210,10010,0
39,2783,-421,16119,-833,-2,332,66,214,-689,271,10130,0
40,2846,-390,16109,-827,2,334,47,89,-715,334,9965,0
41,2911,-354,16099,-820,16,340,0,23,-724,397,10003,0
42,2974,-313,16088,-812,21,346,-22,16,-730,458,9997,0
43,3037,-264,16078,-807,24,345,-37,16,-721,520,10128,0
44,3099,-207,16066,-813,13,355,-58,66,-712,593,10000,0
45,3158,-141,16055,-831,19,358,-70,201,-688,665,10000,0
46,3215,-66,16042,-856,22,365,-80,367,-656,743,10020,0
47,3271,17,16030,-879,23,370,-85,465,-628,824,10088,0
48,3324,107,16018,-898,6,358,-113,459,-603,920,10006,0
49,3376,206,16005,-911,3,332,-135,420,-580,1016,10007,0
50,3425,311,15993,-919,8,303,-163,386,-555,1114,9996,0
51,3471,421,15980,-913,11,231,-221,340,-518,1206,10118,0
52,3514,533,15969,-889,11,191,-232,202,-477,1286,10019,0
53,3553,649,15958,-858,18,155,-238,2,-432,1355,10000,0
54,3587,768,15946,-828,25,131,-245,-73,-378,1405,9980,0
55,3617,891,15935,-801,12,107,-236,-45,-328,1445,10117,0
56,3642,1019,15922,-783,19,100,-232,-2,-280,1478,10022,0
57,3662,1151,15909,-771,17,111,-220,108,-227,1507,9978,0
58,3679,1285,15896,-760,10,137,-198,199,-178,1526,9992,0
59,3693,1422,15882,-745,-22,201,-154,213,-136,1552,10038,0
60,3707,1562,15866,-721,-35,234,-139,181,-106,1597,10100,0
61,3722,1707,15849,-687,-52,249,-134,95,-99,1656,10005,0
62,3740,1859,15830,-645,-84,233,-157,-16,-108,1743,9983,0
63,3760,2018,15807,-600,-96,210,-188,-76,-126,1840,10028,0
64,3779,2184,15782,-556,-105,186,-220,-97,-145,1932,10117,0
65,3797,2360,15754,-523,-106,147,-262,-73,-152,2016,9977,0
66,3808,2545,15723,-507,-99,47,-353,84,-149,2094,10023,0
67,3813,2736,15689,-505,-93,6,-390,308,-120,2156,9999,0
68,3808,2933,15654,-520,-100,-31,-431,504,-69,2188,10098,0
69,3795,3131,15619,-539,-84,-89,-504,707,1,2202,10013,0
70,3776,3324,15583,-542,-68,-111,-533,781,87,2205,10003,0
71,3755,3510,15548,-519,-62,-124,-552,612,174,2196,10031,0
72,3730,3688,15514,-470,-52,-127,-562,300,267,2179,10063,0
73,3701,3860,15481,-401,-62,-115,-562,11,368,2156,10004,0
