# GESTURE_START label=4 caster=lucky rep=11 nsamples=74 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,7180,-737,-14595,-1820,57,-101,-77,-110,-286,-59,10000,0
1,7158,-743,-14603,-1845,55,-100,-82,-288,-257,-94,10001,0
2,7139,-749,-14608,-1878,53,-90,-73,-377,-212,-128,10002,0
3,7124,-754,-14610,-1914,47,-78,-54,-399,-160,-156,10000,0
4,7111,-758,-14610,-1956,46,-56,-22,-463,-110,-181,9997,0
5,7102,-763,-14609,-2002,18,-15,63,-503,-74,-192,10001,0
6,7094,-765,-14607,-2042,11,-2,111,-430,-45,-192,10002,0
7,7089,-761,-14605,-2069,-11,-4,165,-263,-28,-185,10002,0
8,7085,-749,-14607,-2079,-9,8,288,-49,-27,-174,9998,0
9,7081,-730,-14611,-2070,-36,40,335,204,-43,-162,9998,0
10,7074,-703,-14619,-2041,-64,53,379,435,-78,-148,10007,0
11,7066,-675,-14630,-2003,-79,55,435,537,-116,-114,9995,0
12,7055,-647,-14643,-1957,-93,26,530,631,-159,-85,10000,0
13,7041,-616,-14658,-1902,-111,10,586,734,-211,-66,10000,0
14,7022,-581,-14678,-1833,-113,12,635,913,-271,-57,10001,0
15,6998,-539,-14701,-1745,-148,19,751,1135,-348,-44,10001,0
16,6966,-494,-14729,-1646,-186,39,826,1269,-450,-23,10023,0
17,6922,-457,-14761,-1556,-221,83,912,1147,-599,3,10052,0
18,6863,-436,-14796,-1487,-273,143,984,831,-788,41,10051,0
19,6786,-437,-14836,-1447,-367,225,1035,436,-1017,108,10058,0
20,6690,-456,-14881,-1423,-404,177,1113,181,-1245,199,10046,0
21,6578,-483,-14933,-1392,-356,113,1037,210,-1450,306,9962,0
22,6453,-513,-14991,-1346,-340,45,1010,355,-1637,378,10053,0
23,6312,-548,-15053,-1303,-331,-107,917,308,-1828,420,10047,0
24,6156,-584,-15120,-1253,-325,-156,889,366,-2002,429,9990,0
25,5989,-609,-15192,-1179,-324,-115,857,682,-2143,407,10038,0
26,5811,-626,-15267,-1092,-384,48,794,682,-2143,407,10058,0
27,5620,-650,-15342,-1025,-387,128,750,846,-2276,371,10019,0
28,5415,-686,-15417,-981,-394,189,676,593,-2419,356,9981,0
29,5196,-736,-15491,-966,-412,202,614,300,-2564,379,10000,0
30,4967,-793,-15563,-959,-454,139,462,-85,-2703,411,10198,0
31,4733,-846,-15635,-929,-466,100,374,-206,-2807,455,10001,0
32,4493,-898,-15706,-880,-470,56,296,65,-2878,498,10011,0
33,4246,-947,-15775,-814,-478,-56,91,267,-2953,529,9999,0
34,3998,-988,-15842,-718,-449,-76,-7,460,-3020,551,10081,0
35,3749,-1024,-15905,-603,-421,-58,-98,823,-3051,562,9952,0
36,3501,-1060,-15963,-491,-387,0,-181,1045,-3057,557,9999,0
37,3253,-1102,-16015,-412,-405,177,-307,1000,-3035,547,10017,0
38,3006,-1153,-16060,-371,-407,222,-352,617,-2993,546,10012,0
39,2765,-1212,-16100,-340,-380,187,-416,169,-2945,569,10081,0
40,2531,-1277,-16134,-305,-324,-10,-560,38,-2862,639,10000,0
41,2309,-1343,-16163,-263,-250,-105,-599,77,-2765,716,10017,0
42,2097,-1409,-16187,-223,-208,-186,-636,167,-2637,756,10099,0
43,1897,-1471,-16206,-195,-172,-233,-637,156,-2503,750,10029,0
44,1706,-1528,-16222,-189,-136,-195,-618,33,-2356,703,9983,0
45,1522,-1580,-16235,-219,-147,-108,-614,-207,-2214,617,10000,0
46,1341,-1627,-16245,-287,-171,-26,-623,-595,-2099,516,10018,0
47,1166,-1672,-16252,-371,-166,8,-666,-1035,-2011,428,10088,0
48,1000,-1716,-16257,-446,-159,27,-801,-1202,-1923,394,10010,0
49,844,-1759,-16259,-511,-140,29,-878,-1091,-1833,394,10001,0
50,697,-1803,-16259,-573,-119,4,-942,-966,-1730,396,9997,0
51,563,-1847,-16258,-616,-76,-101,-1026,-918,-1626,412,10117,0
52,447,-1890,-16257,-623,-48,-153,-1065,-686,-1497,428,10021,0
53,346,-1930,-16255,-609,-22,-209,-1093,-245,-1338,436,10001,0
54,258,-1966,-16252,-599,12,-257,-1120,11,-1189,424,9979,0
55,180,-1997,-16250,-603,54,-288,-1174,-20,-1047,386,10117,0
56,115,-2020,-16247,-615,73,-278,-1203,-160,-902,319,10021,0
57,67,-2036,-16245,-632,88,-255,-1197,-233,-729,240,9977,0
58,34,-2045,-16242,-659,85,-153,-1115,-265,-540,160,10001,0
59,17,-2049,-16241,-690,86,-92,-1054,-354,-344,92,10069,0
60,18,-2050,-16239,-722,94,-32,-986,-388,-142,40,10057,0
61,32,-2051,-16238,-756,91,9,-917,-366,47,13,10021,0
62,58,-2054,-16235,-793,125,19,-810,-367,213,19,9980,0
63,95,-2059,-16233,-828,139,-6,-766,-383,346,48,10059,0
64,143,-2067,-16230,-861,150,-35,-723,-352,473,86,10045,0
65,200,-2076,-16226,-902,153,-65,-674,-315,595,121,10038,0
66,266,-2084,-16221,-951,147,-125,-613,-383,709,137,9975,0
67,340,-2091,-16216,-1000,128,-114,-495,-465,818,137,10103,0
68,426,-2095,-16211,-1036,133,-182,-468,-456,921,126,10020,0
69,518,-2095,-16206,-1069,119,-187,-352,-294,1032,101,9999,0
70,617,-2090,-16201,-1097,72,-151,-314,-243,1107,65,10000,0
71,719,-2080,-16197,-1121,59,-103,-266,-171,1177,13,10000,0
72,823,-2066,-16192,-1144,29,-54,-250,-133,1208,-41,10097,0
73,926,-2052,-16186,-1176,33,-22,-192,-107,1238,-78,10001,0
# GESTURE_END
