# GESTURE_START label=3 caster=lucky rep=8 nsamples=103 calib=3 mode=0x08
idx,qw,qx,qy,qz,lax,lay,laz,gx,gy,gz,dt_us,dup
0,1694,-11737,11306,19,-394,501,-731,-309,-2729,870,10001,0
1,1833,-11682,11338,210,-382,489,-831,-302,-2654,933,9999,0
2,1968,-11621,11373,395,-316,438,-1025,-284,-2567,989,10001,0
3,2097,-11556,11409,571,-247,396,-1119,-258,-2447,1035,10000,0
4,2218,-11486,11447,738,-204,400,-1228,-243,-2307,1070,10000,0
5,2327,-11412,11488,896,-140,386,-1418,-251,-2142,1111,9999,0
6,2423,-11336,11531,1046,-103,316,-1502,-294,-1954,1156,10001,0
7,2500,-11257,11578,1189,-79,308,-1591,-381,-1753,1202,10000,0
8,2569,-11175,11630,1310,-76,281,-1655,-250,-1503,1240,10005,0
9,2627,-11089,11686,1412,-18,200,-1742,-167,-1254,1276,9994,0
10,2669,-11003,11747,1498,0,142,-1778,-157,-996,1301,10043,0
11,2697,-10918,11811,1568,29,91,-1813,-142,-739,1309,10053,0
12,2712,-10834,11878,1619,47,12,-1867,-71,-482,1298,10045,0
13,2715,-10751,11948,1650,44,-35,-1881,6,-222,1281,10049,0
14,2706,-10672,12020,1659,37,-75,-1884,91,43,1244,10049,0
15,2685,-10596,12093,1647,34,-119,-1866,172,324,1192,9957,0
16,2651,-10525,12167,1614,-1,-168,-1792,248,600,1131,10048,0
17,2602,-10460,12240,1559,-31,-184,-1745,313,878,1062,10043,0
18,2538,-10401,12313,1487,-65,-201,-1686,333,1159,988,10006,0
19,2453,-10348,12384,1402,-106,-208,-1621,293,1436,916,10000,0
20,2349,-10302,12454,1303,-181,-193,-1470,293,1436,916,10104,0
21,2224,-10262,12520,1193,-224,-179,-1376,249,1710,837,9994,0
22,2077,-10227,12585,1076,-277,-166,-1272,185,1970,771,10001,0
23,1909,-10195,12647,952,-360,-136,-1031,80,2218,715,10000,0
24,1725,-10165,12706,822,-397,-134,-889,-16,2445,672,10197,0
25,1528,-10135,12764,686,-439,-126,-746,-85,2641,645,10000,0
26,1322,-10104,12818,543,-476,-120,-600,-126,2799,631,10008,0
27,1110,-10071,12870,397,-490,-118,-346,-127,2919,619,10012,0
28,894,-10035,12918,252,-508,-132,-229,-137,2990,612,9990,0
29,676,-9998,12961,106,-518,-144,-131,-174,3026,605,10026,0
30,465,-9960,13001,-44,-505,-152,54,-181,3036,595,10031,0
31,261,-9920,13035,-201,-511,-143,152,-97,3014,577,9970,0
32,67,-9880,13065,-362,-512,-131,242,26,2980,549,10000,0
33,123,9840,-13089,520,-518,-123,330,119,2929,514,10008,0
34,310,9800,-13109,673,-508,-114,497,126,2864,481,10141,0
35,492,9760,-13125,820,-504,-110,570,100,2795,452,9968,0
36,669,9720,-13137,959,-509,-113,641,89,2713,423,10000,0
37,844,9680,-13147,1086,-498,-119,699,46,2624,402,10016,0
38,1017,9640,-13154,1200,-434,-149,793,-48,2514,380,10109,0
39,1184,9600,-13160,1302,-418,-167,817,-153,2405,358,10000,0
40,1342,9562,-13162,1398,-418,-184,840,-220,2275,336,10049,0
41,1487,9526,-13163,1491,-387,-173,891,-215,2146,308,9942,0
42,1624,9493,-13160,1581,-395,-165,918,-150,2021,279,10028,0
43,1758,9462,-13156,1657,-410,-161,935,-117,1907,240,10118,0
44,1895,9431,-13151,1716,-416,-165,956,-226,1798,201,9982,0
45,2031,9403,-13145,1761,-394,-180,1013,-395,1703,161,10015,0
46,2160,9377,-13138,1798,-395,-173,1046,-516,1601,122,9980,0
47,2277,9357,-13128,1833,-404,-154,1088,-546,1490,80,10128,0
48,2376,9342,-13115,1871,-411,-96,1176,-458,1355,32,9999,0
49,2459,9333,-13102,1909,-406,-79,1208,-317,1210,-15,9993,0
50,2523,9328,-13087,1942,-428,-61,1238,-187,1046,-50,10029,0
51,2570,9328,-13074,1971,-444,-38,1266,-105,848,-80,10088,0
52,2600,9333,-13062,1993,-458,4,1304,-28,648,-103,10000,0
53,2611,9341,-13051,2008,-458,18,1314,40,432,-122,9994,0
54,2605,9353,-13043,2014,-457,34,1313,95,208,-134,10041,0
55,2580,9369,-13037,2012,-470,67,1283,128,-20,-145,10016,0
56,2536,9387,-13034,2002,-463,74,1259,177,-256,-151,10094,0
57,2476,9408,-13033,1985,-452,72,1232,239,-484,-150,9982,0
58,2399,9430,-13035,1959,-447,73,1206,277,-698,-139,10008,0
59,2307,9454,-13039,1928,-450,78,1154,312,-905,-127,9980,0
60,2200,9479,-13045,1892,-431,81,1130,362,-1093,-116,10146,0
61,2082,9505,-13052,1847,-422,84,1108,408,-1272,-107,9978,0
62,1955,9530,-13060,1792,-424,87,1088,413,-1432,-98,10021,0
63,1824,9556,-13070,1724,-434,78,1031,368,-1578,-95,10001,0
64,1689,9581,-13080,1643,-443,84,1005,273,-1712,-96,10088,0
65,1548,9607,-13090,1549,-440,92,974,184,-1844,-105,10029,0
66,1402,9633,-13099,1444,-453,97,872,113,-1975,-119,10000,0
67,1251,9660,-13107,1327,-439,94,804,27,-2099,-137,9971,0
68,1093,9686,-13114,1202,-429,97,733,-36,-2227,-150,10054,0
69,926,9713,-13118,1072,-445,102,649,-53,-2344,-162,10092,0
70,752,9739,-13120,939,-525,131,466,-47,-2451,-174,9988,0
71,570,9763,-13120,805,-537,149,371,-20,-2544,-182,10012,0
72,384,9787,-13117,667,-540,168,270,14,-2624,-181,10000,0
73,384,9787,-13117,667,-550,177,94,19,-2684,-181,10125,0
74,196,9807,-13113,524,-515,182,2,-20,-2739,-169,9992,0
75,1,9823,-13108,379,-470,194,-86,12,-2814,-132,9997,0
76,196,-9834,13101,-235,-421,211,-172,43,-2825,-97,10000,0
77,388,-9840,13094,-87,-388,222,-341,-33,-2802,-48,10044,0
78,566,-9840,13087,72,-336,216,-433,-234,-2751,7,10076,0
79,723,-9836,13081,247,-318,168,-530,-531,-2673,55,9996,0
80,856,-9829,13073,441,-333,120,-635,-864,-2579,92,10010,0
81,979,-9819,13064,636,-279,58,-812,-943,-2490,106,10024,0
82,1107,-9806,13054,810,-249,69,-877,-714,-2401,117,10083,0
83,1247,-9788,13044,956,-223,94,-937,-364,-2318,128,10019,0
84,1394,-9766,13036,1080,-179,116,-1056,-119,-2227,154,10018,0
85,1534,-9741,13029,1197,-173,111,-1123,-82,-2118,188,9977,0
86,1663,-9714,13022,1312,-153,87,-1184,-147,-2010,220,10110,0
87,1782,-9685,13017,1423,-138,56,-1236,-175,-1883,249,10004,0
88,1896,-9654,13013,1521,-150,2,-1309,-91,-1750,262,10005,0
89,2009,-9622,13010,1601,-122,-9,-1332,83,-1625,262,9995,0
90,2126,-9588,13009,1658,-93,-3,-1350,313,-1500,250,10009,0
91,2244,-9554,13010,1694,-59,18,-1383,513,-1366,241,10104,0
92,2360,-9518,13013,1712,-34,34,-1381,682,-1227,240,10010,0
93,2475,-9480,13020,1711,-9,49,-1375,851,-1075,255,9981,0
94,2582,-9440,13030,1696,-23,49,-1380,936,-912,282,10010,0
95,2673,-9399,13044,1676,51,0,-1351,878,-733,314,10091,0
96,2747,-9360,13060,1652,45,-24,-1328,814,-538,337,10014,0
97,2802,-9323,13078,1625,57,-41,-1300,700,-328,348,10002,0
98,2835,-9290,13098,1596,126,-47,-1249,573,-117,339,9998,0
99,2841,-9264,13118,1573,72,-91,-1202,325,101,317,10118,0
100,2817,-9247,13136,1562,130,-105,-1179,7,313,271,10029,0
101,2773,-9239,13153,1546,116,-126,-1136,-100,534,208,10026,0
102,2716,-9237,13170,1517,82,-118,-1013,-90,752,139,9954,0
# GESTURE_END
